label,year,journal,paper_type,relevance,paradigm,groups,doi,url,authors,topics,methods,workflows,chemistry,data_regime,validation,why,citations,citation_date
Meta-learning for Asymmetric Catalysis,2025,Nature Communications,research,core catalysis,Transfer / few-shot,Other,10.1038/s41467-025-58854-8,https://doi.org/10.1038/s41467-025-58854-8,José Miguel Hernández-Lobato; Sukriti Singh,Enantioselectivity; Few-shot learning; Meta-learning; Transfer learning,Few-shot prediction; Prototypical networks,Few-shot / meta-learning workflow,Asymmetric hydrogenation of olefins,Literature-derived multi-task / few-shot setting,Out-of-sample catalytic tasks,Tests whether shared knowledge across reactions can reduce the data needed for a new catalytic task.,6,2026-09-03
Minerva: Parallel Reaction Optimisation,2025,Nature Communications,research,core catalysis,Autonomous / HTE,Schwaller,10.1038/s41467-025-61803-0,https://doi.org/10.1038/s41467-025-61803-0,Joshua W. Sin; Philippe Schwaller; Siu Lun Chau,Autonomous experimentation; Bayesian optimization; High-throughput experimentation; Multi-objective optimization,Batch acquisition; HTE automation; Surrogate modeling,Autonomous HTE optimization workflow,Ni Suzuki; Pd Buchwald-Hartwig; process chemistry,96-well iterative experimental batches,Closed-loop experimental optimization,Strong example of ML as an experimental decision engine rather than a final predictor.,16,2026-09-03
Pd to Ni Transfer Learning for Atroposelective Suzuki Coupling,2025,JACS,research,core catalysis,Transfer / few-shot,Hong,10.1021/jacs.5c00838,https://doi.org/10.1021/jacs.5c00838,Li-Cheng Xu; Li-Gao Liu; Shuo-Qing Zhang; Xin Hong; Xin-Yuan Xu,Asymmetric catalysis; Cross-metal transfer; Ligand prediction; Small data; Transfer learning,Delta learning; Similarity-based sampling; Transfer learning,Few-shot / meta-learning workflow; Mechanism-aware transfer workflow,Atroposelective Ni-catalyzed Suzuki-Miyaura coupling,310 Pd reactions plus 21 Ni/Sadphos ligand points,Predicted ligand enabled a new Ni catalytic reaction,Clear demonstration of mechanistically motivated knowledge transfer from Pd to Ni.,,2026-09-03
Predictive Modeling of Enantioselective Mn C-H Oxidation,2025,ACS Catalysis,research,core catalysis,Physical / interpretable,Sigman,10.1021/acscatal.4c05659,https://doi.org/10.1021/acscatal.4c05659,Andrea Palone; Arnau Call; Jordan P. Liles; Matthew S. Sigman; Miquel Costas,C-H oxidation; Enantioselectivity; Manganese catalysis; Physical descriptors; Statistical modeling,DFT descriptors; Multiple linear regression; Predictive statistical modeling,,Mn-catalyzed enantioselective oxidation of nonactivated methylene C-H bonds,Catalyst/substrate selectivity data with computed descriptors,Structure-selectivity interpretation and predictive tests,Shows interpretable modeling of subtle stereoelectronic effects in C-H oxidation.,,2026-09-03
Probability Guided Chemical Reaction Scopes,2025,ChemRxiv,preprint,core catalysis,Other / mixed,Milo,,https://www.cambridge.org/engage/chemrxiv/article-details/67a66bde6dde43c908fb7a13,Anat Milo; Inbal L. Eshel; Monica H. Perez-Temprano; Sergio Barranco; Shahar Barkai,Catalysis; Classification; Prospective prediction; Reaction-scope design; Small data,Probabilistic classification; Reaction-condition classification,Target-specific active-learning workflow,Condition suitability and reaction-scope prediction,Small curated catalytic reaction scopes,External targets and reaction-condition classification,Reframes reaction scope as a probabilistic condition-suitability problem.,,2026-09-03
QM + ML Design of Low-Valent Fe Catalysts for N2 Reduction,2025,JACS,research,core catalysis,Mechanistic ML,Other,10.1021/jacs.5c00099,https://doi.org/10.1021/jacs.5c00099,Ankit Mondal; Chandrasekhar Nettem; Gopalan Rajaraman,Catalyst design; Mechanistic ML; Nitrogen reduction; Quantum chemistry; Transition-metal complexes,Ab initio molecular dynamics; DFT; Machine learning,,Low-valent Fe/CAAC homogeneous catalysts for N2-to-NH3 conversion,Computational catalyst and dynamics data,QM/MD mechanistic analysis linked to ML-derived design variables,Represents computational catalyst discovery driven by mechanistic QM data.,,2026-09-03
Reactive ML Potential for Organometallic TS Search and Ligand Screening,2025,JCTC,research,core catalysis,MLIP / TS acceleration,Other,10.1021/acs.jctc.5c01047,https://doi.org/10.1021/acs.jctc.5c01047,Kun Tang; Qilei Liu; Yujing Zhao,Deep learning; Ligand screening; Organometallic catalysis; Reactive MLIPs; Transition-state search,Automated TS database; Equivariant message passing; Reactive machine-learning potential,Reactive MLIP mechanism workflow,Organometallic ethylene hydrogenation and ligand screening,Automated reactive training data for organometallic pathways,PES/IRC and screening benchmarks against quantum chemistry,Targets the expensive TS-search layer limiting contextual catalyst modeling.,,2026-09-03
Sharpless AD Enantioselectivity Prediction,2025,ACS Central Science,research,core catalysis,Physical / interpretable,Denmark,10.1021/acscentsci.5c00900,https://doi.org/10.1021/acscentsci.5c00900,Blake E. Ocampo; Scott E. Denmark,Enantioselectivity; Literature mining; Physical descriptors; Prospective validation,Chemistry-informed descriptors; Statistical / ML modeling,,Sharpless asymmetric dihydroxylation,"1,007 literature reactions",Prospective experimental substrates,Strong example of literature curation plus chemically interpretable representations plus real external validation.,,2026-09-03
Statistical Modeling in Ligand-Controlled Bismuth Catalysis,2025,JACS,research,core catalysis,Mechanistic ML,Sigman,10.1021/jacs.5c11854,https://doi.org/10.1021/jacs.5c11854,Hoonchul Choi; Jamie A. Cadge; Josep Cornella; Lucas Mele; Matthew S. Sigman; Philipp D. Engel; Vytautas Peciukenas,Chemodivergence; Ligand effects; Main-group catalysis; Mechanistic discovery; Statistical modeling,Charge and steric descriptors; DFT; Statistical modeling,Mechanism-aware transfer workflow,Ligand-controlled high-valent bismuth catalysis,Ligand series plus mechanistic calculations and experiments,Mechanistic model tied to alternative reductive-elimination pathways,Extends data-driven ligand analysis beyond transition-metal catalysis.,,2026-09-03
Target-specific Data Sets for Regioselectivity,2025,JACS,research,core catalysis,Bayesian / active learning,Milo,10.1021/jacs.4c15902,https://doi.org/10.1021/jacs.4c15902,Alba Carretero-Cerdán; Anat Milo; Jules Schleinitz; Sarah E. Reisman,Active learning; Dataset design; Regioselectivity; Small data,Acquisition functions; Target-specific sampling; Uncertainty,Target-specific active-learning workflow,C–H functionalization / regioselectivity,Literature data plus actively selected subsets,Prospective experiments on complex targets,Shows that strategically chosen small datasets can beat larger random datasets.,13,2026-09-03
Top-Down Mechanistic Elucidation with ML,2025,ACS Catalysis,research,core catalysis,Mechanistic ML,Reid,10.1021/acscatal.5c02264,https://doi.org/10.1021/acscatal.5c02264,Jolene P. Reid,Asymmetric catalysis; Interpretable ML; Mechanistic discovery; Model heterogeneity,Clusterwise linear regression; Descriptor analysis,,Asymmetric catalysis,Small-to-medium reaction datasets,Computational and experimental follow-up of inferred regimes,Uses ML to discover distinct mechanistic regimes instead of forcing one global structure–selectivity relationship.,,2026-09-03
Autonomous Reaction Pareto-Front Mapping with a Self-Driving Catalysis Laboratory,2024,Nature Chemical Engineering,research,core catalysis,Autonomous / HTE,Abolhasani,10.1038/s44286-024-00033-5,https://doi.org/10.1038/s44286-024-00033-5,J. A. Bennett; J. Rodgers; M. Khan; Milad Abolhasani; N. Orouji; S. Sadeghi,Autonomous experimentation; Bayesian optimization; HTE; Hydroformylation; Ligand optimization; Multi-objective optimization,Digital twin; Flow chemistry; Multi-objective Bayesian optimization; Self-driving laboratory,Autonomous HTE optimization workflow,Rh-catalyzed hydroformylation of 1-octene with phosphorus ligands,Closed-loop high-pressure/high-temperature gas-liquid experiments with autonomous ligand benchmarking,Autonomous Pareto-front mapping and reactor benchmarking,"Foundational homogeneous-catalysis self-driving-lab paper, showing autonomous ligand benchmarking rather than only condition optimization.",73,2026-09-04
Catalysing (Organo-)Catalysis: ML Trends in Enantioselective Organocatalysis,2024,Beilstein J. Org. Chem.,review,overview,Other / mixed,Other,10.3762/bjoc.20.196,https://doi.org/10.3762/bjoc.20.196,Frank Glorius; Kjell Jorner; Leon Schlosser; Stefan P. Schmid,Asymmetric catalysis; Catalyst design; Organocatalysis; Review; Selectivity prediction,Review / perspective,,Enantioselective organocatalysis,Review of historical and recent ML applications in organocatalysis,N/A,"Adds the organocatalysis branch, often omitted when ML-in-catalysis discussions focus only on transition metals.",15,2026-09-04
Chemoinformatic Catalyst Selection for Cu-Bis(oxazoline) Asymmetric Vinylogous Mukaiyama Aldol Reactions,2024,ACS Catalysis,research,core catalysis,Ligand-space / screening,Denmark,10.1021/acscatal.3c05903,https://doi.org/10.1021/acscatal.3c05903,A. F. Zahrt; C. L. Olen; D. Candito; D. Schultz; K. Emerson; Neil A. Strotman; S. W. Reilly; Scott E. Denmark; X. Wang,Asymmetric catalysis; Catalyst selection; Enantioselectivity; Ligand optimization; Training-set design,Conformer-dependent descriptors; Nearest neighbors; QSSR; Unsupervised catalyst selection,Reusable ligand-space workflow; Target-specific active-learning workflow,Cu-bis(oxazoline)-mediated asymmetric vinylogous Mukaiyama aldol reaction,HTE catalyst survey with chemoinformatic ligand selection,"Comparison of unsupervised selection, focused analogues and supervised QSSR","Useful Denmark-style comparison of how to choose which catalysts to screen, not just how to fit a model after screening.",,2026-09-04
Data Science Guided Multiobjective Optimization of a Stereoconvergent Ni-Catalyzed Reduction,2024,ACS Catalysis,research,core catalysis,Autonomous / HTE,Sigman; Doyle,10.1021/acscatal.4c00650,https://doi.org/10.1021/acscatal.4c00650,Abigail G. Doyle; Daniel S. Min; Daniel Zell; Francis Gosselin; Jason Y. Wang; Kyle A. Mack; Lauren E. Sirois; Matthew S. Sigman; Natalie P. Romer; Richard C. Walroth,Bayesian optimization; Ligand optimization; Multi-objective optimization; Nickel catalysis; Stereoselectivity; Training-set design,EDBO+; Hierarchical machine learning; High-throughput experimentation; Statistical modeling,Autonomous HTE optimization workflow,Ni-catalyzed reduction of enol tosylates to E/Z trisubstituted alkenes,"Only 25 reactions per objective used to optimize within a ~30,000-condition search space",Experimental optimization plus prediction of untested monophosphine ligands,"Clear integration of ligand training-set design, statistical modeling and Bayesian optimization in a real reaction-development campaign.",,2026-09-04
"Latent Variable ML Framework for Catalysis: General Models, Transfer Learning, and Interpretability",2024,JACS Au,research,catalysis-enabling methodology,Transfer / few-shot,Other,10.1021/jacsau.3c00419,https://doi.org/10.1021/jacsau.3c00419,Gbolade O. Kayode; Matthew M. Montemore,Catalysis; Data efficiency; Interpretable ML; Latent representations; Transfer learning,Latent-variable models; Multifidelity learning; Transfer learning,Few-shot / meta-learning workflow,Catalytic adsorption energies on alloy surfaces; framework aimed at reusable catalysis models,Multi-species and multifidelity catalytic datasets; transfer with ~10 target points,"Cross-species, cross-computational-setup and computation-to-experiment transfer","Useful conceptual reference for reusable latent representations and extreme few-shot transfer, even though demonstrated on heterogeneous catalysis.",,2026-09-04
